condition,mean,sd,CI2.5,CI97.5,repo,comorbidity,Var1,Var2
Restless_legs_syndrome,0.01,0.018,-0.027,0.043,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Restless_legs_syndrome,0.1,0.018,0.06,0.131,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Restless_legs_syndrome,0.16,0.016,0.125,0.189,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Restless_legs_syndrome,-0.38,0.016,-0.408,-0.344,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Restless_legs_syndrome,0.07,0.017,0.041,0.107,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Restless_legs_syndrome,0.17,0.017,0.138,0.205,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Restless_legs_syndrome,0.24,0.017,0.207,0.274,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Restless_legs_syndrome,0.17,0.018,0.13,0.201,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Axial_Spondyloarthritis,0.366,0.034,0.296,0.435,Community,Cardiovascular : Pain,Cardiovascular,Pain
Axial_Spondyloarthritis,0.388,0.037,0.314,0.459,Community,Anxiety : Pain,Anxiety,Pain
Axial_Spondyloarthritis,0.169,0.044,0.08,0.256,Community,Asthma : Pain,Asthma,Pain
Axial_Spondyloarthritis,0.131,0.045,0.041,0.221,Community,Acid-related disease : Pain,Acid-related disease,Pain
Axial_Spondyloarthritis,0.173,0.057,0.061,0.28,Community,Diabetes : Pain,Diabetes,Pain
Axial_Spondyloarthritis,0.178,0.041,0.096,0.258,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Axial_Spondyloarthritis,0.129,0.045,0.041,0.216,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Axial_Spondyloarthritis,0.104,0.048,0.012,0.198,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Axial_Spondyloarthritis,0.434,0.053,0.325,0.532,Community,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Axial_Spondyloarthritis,0.227,0.045,0.139,0.316,Community,Anxiety : Asthma,Anxiety,Asthma
Axial_Spondyloarthritis,0.188,0.048,0.091,0.281,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Axial_Spondyloarthritis,0.117,0.059,0.001,0.23,Community,Anxiety : Diabetes,Anxiety,Diabetes
Axial_Spondyloarthritis,0.162,0.052,0.056,0.263,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Axial_Spondyloarthritis,0.167,0.059,0.05,0.28,Community,Asthma : Diabetes,Asthma,Diabetes
Axial_Spondyloarthritis,0.092,0.063,-0.033,0.213,Community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Pulmonary_Hypertension,0.24,0.068,0.101,0.368,Community,Cardiovascular : Pain,Cardiovascular,Pain
Pulmonary_Hypertension,-0.095,0.071,-0.233,0.049,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Pulmonary_Hypertension,0.364,0.069,0.223,0.492,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Pulmonary_Hypertension,0.073,0.074,-0.072,0.216,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Pulmonary_Hypertension,-0.038,0.08,-0.192,0.12,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Pulmonary_Hypertension,0.204,0.059,0.09,0.316,Community,Asthma : Pain,Asthma,Pain
Pulmonary_Hypertension,0.421,0.059,0.302,0.53,Community,Arthritis : Pain,Arthritis,Pain
Pulmonary_Hypertension,0.282,0.064,0.157,0.405,Community,Anxiety : Pain,Anxiety,Pain
Pulmonary_Hypertension,0.102,0.073,-0.042,0.248,Community,Acid-related disease : Pain,Acid-related disease,Pain
Pulmonary_Hypertension,0.071,0.065,-0.055,0.198,Community,Arthritis : Asthma,Arthritis,Asthma
Pulmonary_Hypertension,0.118,0.065,-0.012,0.244,Community,Anxiety : Asthma,Anxiety,Asthma
Pulmonary_Hypertension,0.211,0.069,0.073,0.343,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Pulmonary_Hypertension,0.066,0.069,-0.068,0.2,Community,Anxiety : Arthritis,Anxiety,Arthritis
Pulmonary_Hypertension,-0.115,0.076,-0.259,0.035,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Pulmonary_Hypertension,0.142,0.075,-0.007,0.284,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Parkinson_Disease,0.223,0.022,0.178,0.266,Community,Cardiovascular : Pain,Cardiovascular,Pain
Parkinson_Disease,0.022,0.023,-0.02,0.067,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Parkinson_Disease,0.055,0.024,0.01,0.1,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Parkinson_Disease,0.378,0.022,0.335,0.42,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Parkinson_Disease,0.129,0.027,0.076,0.181,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Parkinson_Disease,0.229,0.023,0.186,0.274,Community,Anxiety : Pain,Anxiety,Pain
Parkinson_Disease,0.236,0.023,0.19,0.282,Community,Acid-related disease : Pain,Acid-related disease,Pain
Parkinson_Disease,0.476,0.021,0.436,0.515,Community,Arthritis : Pain,Arthritis,Pain
Parkinson_Disease,0.209,0.027,0.157,0.263,Community,Asthma : Pain,Asthma,Pain
Parkinson_Disease,0.191,0.023,0.145,0.237,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Parkinson_Disease,0.039,0.025,-0.01,0.087,Community,Anxiety : Arthritis,Anxiety,Arthritis
Parkinson_Disease,0.114,0.028,0.059,0.168,Community,Anxiety : Asthma,Anxiety,Asthma
Parkinson_Disease,-0.165,0.025,-0.216,-0.116,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Parkinson_Disease,0.123,0.028,0.068,0.176,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Parkinson_Disease,0.079,0.03,0.022,0.138,Community,Arthritis : Asthma,Arthritis,Asthma
Psoriatic_arthritis,0.264,0.026,0.212,0.316,Community,Cardiovascular : Pain,Cardiovascular,Pain
Psoriatic_arthritis,0.407,0.027,0.354,0.459,Community,Anxiety : Pain,Anxiety,Pain
Psoriatic_arthritis,0.223,0.032,0.161,0.285,Community,Asthma : Pain,Asthma,Pain
Psoriatic_arthritis,0.172,0.033,0.107,0.236,Community,Acid-related disease : Pain,Acid-related disease,Pain
Psoriatic_arthritis,0.187,0.039,0.111,0.264,Community,Diabetes : Pain,Diabetes,Pain
Psoriatic_arthritis,0.106,0.03,0.049,0.167,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Psoriatic_arthritis,0.084,0.032,0.021,0.147,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Psoriatic_arthritis,0.023,0.035,-0.046,0.089,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Psoriatic_arthritis,0.372,0.036,0.3,0.443,Community,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Psoriatic_arthritis,0.176,0.034,0.109,0.24,Community,Anxiety : Asthma,Anxiety,Asthma
Psoriatic_arthritis,0.139,0.037,0.067,0.21,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Psoriatic_arthritis,0.159,0.041,0.079,0.24,Community,Anxiety : Diabetes,Anxiety,Diabetes
Psoriatic_arthritis,0.17,0.036,0.101,0.241,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Psoriatic_arthritis,0.116,0.042,0.031,0.197,Community,Asthma : Diabetes,Asthma,Diabetes
Psoriatic_arthritis,0.082,0.042,-0.002,0.164,Community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Systemic_Lupus_Erythematosus,0.233,0.048,0.141,0.327,Community,Cardiovascular : Pain,Cardiovascular,Pain
Systemic_Lupus_Erythematosus,0.397,0.044,0.306,0.481,Community,Arthritis : Pain,Arthritis,Pain
Systemic_Lupus_Erythematosus,0.354,0.047,0.263,0.444,Community,Anxiety : Pain,Anxiety,Pain
Systemic_Lupus_Erythematosus,0.148,0.053,0.045,0.251,Community,Acid-related disease : Pain,Acid-related disease,Pain
Systemic_Lupus_Erythematosus,0.165,0.055,0.055,0.271,Community,Asthma : Pain,Asthma,Pain
Systemic_Lupus_Erythematosus,0.306,0.047,0.212,0.397,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Systemic_Lupus_Erythematosus,0.17,0.05,0.07,0.267,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Systemic_Lupus_Erythematosus,0.121,0.053,0.017,0.223,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Systemic_Lupus_Erythematosus,0.09,0.055,-0.017,0.196,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Systemic_Lupus_Erythematosus,0.17,0.05,0.069,0.265,Community,Anxiety : Arthritis,Anxiety,Arthritis
Systemic_Lupus_Erythematosus,-0.502,0.047,-0.587,-0.405,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Systemic_Lupus_Erythematosus,0.171,0.054,0.064,0.275,Community,Arthritis : Asthma,Arthritis,Asthma
Systemic_Lupus_Erythematosus,0.049,0.056,-0.062,0.157,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Systemic_Lupus_Erythematosus,0.27,0.053,0.164,0.372,Community,Anxiety : Asthma,Anxiety,Asthma
Systemic_Lupus_Erythematosus,0.008,0.061,-0.112,0.124,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Axial_Spondyloarthritis,0.376,0.035,0.305,0.443,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Axial_Spondyloarthritis,0.38,0.038,0.305,0.453,Age restricted community,Anxiety : Pain,Anxiety,Pain
Axial_Spondyloarthritis,0.182,0.045,0.09,0.268,Age restricted community,Asthma : Pain,Asthma,Pain
Axial_Spondyloarthritis,0.132,0.048,0.039,0.226,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Axial_Spondyloarthritis,0.192,0.057,0.077,0.301,Age restricted community,Diabetes : Pain,Diabetes,Pain
Axial_Spondyloarthritis,0.187,0.043,0.102,0.27,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Axial_Spondyloarthritis,0.135,0.046,0.046,0.224,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Axial_Spondyloarthritis,0.096,0.051,-0.002,0.196,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Axial_Spondyloarthritis,0.449,0.055,0.338,0.554,Age restricted community,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Axial_Spondyloarthritis,0.217,0.049,0.122,0.312,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Axial_Spondyloarthritis,0.194,0.052,0.09,0.293,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Axial_Spondyloarthritis,0.143,0.062,0.02,0.262,Age restricted community,Anxiety : Diabetes,Anxiety,Diabetes
Axial_Spondyloarthritis,0.154,0.055,0.049,0.261,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Axial_Spondyloarthritis,0.213,0.064,0.086,0.338,Age restricted community,Asthma : Diabetes,Asthma,Diabetes
Axial_Spondyloarthritis,0.132,0.067,-0.004,0.259,Age restricted community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Pulmonary_Hypertension,0.222,0.073,0.075,0.365,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Pulmonary_Hypertension,-0.125,0.075,-0.272,0.022,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Pulmonary_Hypertension,0.217,0.081,0.058,0.369,Age restricted community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Pulmonary_Hypertension,0.053,0.08,-0.105,0.208,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Pulmonary_Hypertension,-0.064,0.085,-0.231,0.101,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Pulmonary_Hypertension,0.166,0.067,0.039,0.298,Age restricted community,Asthma : Pain,Asthma,Pain
Pulmonary_Hypertension,0.4,0.065,0.27,0.526,Age restricted community,Arthritis : Pain,Arthritis,Pain
Pulmonary_Hypertension,0.317,0.068,0.177,0.447,Age restricted community,Anxiety : Pain,Anxiety,Pain
Pulmonary_Hypertension,0.09,0.076,-0.064,0.235,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Pulmonary_Hypertension,0.059,0.07,-0.079,0.198,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Pulmonary_Hypertension,0.104,0.07,-0.038,0.237,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Pulmonary_Hypertension,0.212,0.075,0.068,0.357,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Pulmonary_Hypertension,0.069,0.073,-0.073,0.211,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Pulmonary_Hypertension,-0.112,0.083,-0.273,0.048,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Pulmonary_Hypertension,0.111,0.081,-0.05,0.267,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Parkinson_Disease,0.219,0.024,0.172,0.265,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Parkinson_Disease,0.051,0.025,0.001,0.099,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Parkinson_Disease,0.052,0.025,0.003,0.101,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Parkinson_Disease,0.383,0.024,0.335,0.428,Age restricted community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Parkinson_Disease,0.116,0.03,0.059,0.175,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Parkinson_Disease,0.244,0.024,0.195,0.29,Age restricted community,Anxiety : Pain,Anxiety,Pain
Parkinson_Disease,0.237,0.025,0.187,0.284,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Parkinson_Disease,0.477,0.023,0.432,0.519,Age restricted community,Arthritis : Pain,Arthritis,Pain
Parkinson_Disease,0.191,0.029,0.132,0.248,Age restricted community,Asthma : Pain,Asthma,Pain
Parkinson_Disease,0.205,0.026,0.154,0.255,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Parkinson_Disease,0.031,0.027,-0.021,0.085,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Parkinson_Disease,0.13,0.03,0.072,0.189,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Parkinson_Disease,-0.205,0.027,-0.258,-0.151,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Parkinson_Disease,0.11,0.031,0.05,0.172,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Parkinson_Disease,0.074,0.031,0.014,0.134,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Psoriatic_arthritis,0.271,0.027,0.218,0.322,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Psoriatic_arthritis,0.412,0.028,0.356,0.467,Age restricted community,Anxiety : Pain,Anxiety,Pain
Psoriatic_arthritis,0.224,0.032,0.163,0.286,Age restricted community,Asthma : Pain,Asthma,Pain
Psoriatic_arthritis,0.178,0.034,0.112,0.243,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Psoriatic_arthritis,0.187,0.039,0.106,0.264,Age restricted community,Diabetes : Pain,Diabetes,Pain
Psoriatic_arthritis,0.118,0.031,0.059,0.178,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Psoriatic_arthritis,0.089,0.033,0.025,0.151,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Psoriatic_arthritis,0.03,0.035,-0.038,0.098,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Psoriatic_arthritis,0.379,0.036,0.307,0.449,Age restricted community,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Psoriatic_arthritis,0.172,0.035,0.104,0.243,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Psoriatic_arthritis,0.138,0.036,0.066,0.209,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Psoriatic_arthritis,0.159,0.042,0.076,0.239,Age restricted community,Anxiety : Diabetes,Anxiety,Diabetes
Psoriatic_arthritis,0.197,0.037,0.126,0.268,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
Psoriatic_arthritis,0.118,0.043,0.036,0.203,Age restricted community,Asthma : Diabetes,Asthma,Diabetes
Psoriatic_arthritis,0.083,0.045,-0.006,0.171,Age restricted community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Systemic_Lupus_Erythematosus,0.248,0.051,0.149,0.343,Age restricted community,Cardiovascular : Pain,Cardiovascular,Pain
Systemic_Lupus_Erythematosus,0.389,0.047,0.292,0.476,Age restricted community,Arthritis : Pain,Arthritis,Pain
Systemic_Lupus_Erythematosus,0.383,0.05,0.281,0.475,Age restricted community,Anxiety : Pain,Anxiety,Pain
Systemic_Lupus_Erythematosus,0.132,0.056,0.018,0.244,Age restricted community,Acid-related disease : Pain,Acid-related disease,Pain
Systemic_Lupus_Erythematosus,0.191,0.057,0.075,0.296,Age restricted community,Asthma : Pain,Asthma,Pain
Systemic_Lupus_Erythematosus,0.306,0.05,0.208,0.405,Age restricted community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Systemic_Lupus_Erythematosus,0.189,0.054,0.081,0.292,Age restricted community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Systemic_Lupus_Erythematosus,0.127,0.057,0.012,0.241,Age restricted community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Systemic_Lupus_Erythematosus,0.099,0.058,-0.015,0.212,Age restricted community,Asthma : Cardiovascular,Asthma,Cardiovascular
Systemic_Lupus_Erythematosus,0.151,0.053,0.049,0.255,Age restricted community,Anxiety : Arthritis,Anxiety,Arthritis
Systemic_Lupus_Erythematosus,-0.511,0.048,-0.603,-0.413,Age restricted community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Systemic_Lupus_Erythematosus,0.177,0.057,0.067,0.287,Age restricted community,Arthritis : Asthma,Arthritis,Asthma
Systemic_Lupus_Erythematosus,0.05,0.058,-0.061,0.168,Age restricted community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Systemic_Lupus_Erythematosus,0.256,0.057,0.144,0.364,Age restricted community,Anxiety : Asthma,Anxiety,Asthma
Systemic_Lupus_Erythematosus,-0.011,0.064,-0.134,0.117,Age restricted community,Acid-related disease : Asthma,Acid-related disease,Asthma
