company,trial,sex,n,fn1,fn2,fn3,fn4
bi,BI1245_36,female,309,63.627831715210355,8.862257753590155,26,86
bi,BI1245_36,male,432,64.07175925925925,8.770703112790986,32,87
bi,BI1245_48,female,329,60.14589665653495,9.558388756021529,33,82
bi,BI1245_48,male,496,60.33467741935484,8.610358284921796,34,84
bi,BI248_524,female,240,61.729166666666664,9.465505716327566,30,83
bi,BI248_524,male,299,61.50167224080268,9.880281556574179,32,85
bi,BI248_525,female,233,61.75536480686695,9.906688744007893,34,83
bi,BI248_525,male,285,61.25964912280702,9.9510750294955,34,81
bi,BI248_622,female,104,60.96153846153846,10.233130163833676,30,82
bi,BI248_622,male,207,62.94202898550725,10.201205037285938,30,87
bi_new,BI107_210,female,888,63.94481981981982,11.451889274240306,26,88
bi_new,BI107_210,male,432,63.46527777777778,11.832304591296742,23,89
bi_new,BI1123_11,female,372,68.91935483870968,12.127754434147732,20,89
bi_new,BI1123_11,male,1258,60.13990461049285,12.095199702284745,23,89
bi_new,BI1199_32,female,99,67.70707070707071,8.926288308380883,47,87
bi_new,BI1199_32,male,415,66.66746987951807,8.163798793012125,42,86
bi_new,BI1199_34,female,121,66.20661157024793,7.632078523543353,49,85
bi_new,BI1199_34,male,428,66.75700934579439,7.787687539809943,42,89
bi_new,BI1276_1,female,607,52.02965403624382,11.162131453848,18,82
bi_new,BI1276_1,male,811,52.964241676942045,10.680891152573604,24,87
bi_new,BI244_2484,female,275,65.14181818181818,8.375640097754527,41,83
bi_new,BI244_2484,male,370,66.14594594594594,8.569517876557388,43,89
bi_new,BI248_629,female,198,57.707070707070706,11.549278682073327,22,81
bi_new,BI248_629,male,133,55.69172932330827,12.840620000092875,23,81
bi_new,BI502_254,female,590,63.78983050847457,10.626546745144523,32,84
bi_new,BI502_254,male,449,61.99554565701559,11.164755520333886,32,84
bi_new,BI502_256,female,136,52.38235294117647,9.530503716453008,26,75
bi_new,BI502_256,male,290,53.779310344827586,10.143584377378634,21,82
bi_new,BI502_316,female,106,54.66981132075472,9.001292709397443,32,76
bi_new,BI502_316,male,256,51.3828125,9.982039631061301,19,79
bi_new,BI502_317,female,192,70.45833333333333,4.710279872225704,63,86
bi_new,BI502_317,male,181,70.88397790055248,5.600874701484682,40,85
bi_new,BI502_327,female,118,54.67796610169491,9.726939730031312,27,78
bi_new,BI502_327,male,372,54.454301075268816,9.792210876498226,27,81
bi_new,BI502_376,female,174,53.38505747126437,10.593159847081083,28,82
bi_new,BI502_376,male,272,53.419117647058826,9.582853034525316,28,78
bi_new,BI502_391,female,322,53.962732919254655,10.931898051120708,27,84
bi_new,BI502_391,male,479,53.35908141962422,10.332975001237648,24,80
bi_new,BI502_392,female,269,52.10780669144982,9.732595182037407,22,85
bi_new,BI502_392,male,543,52.87108655616943,9.856439637249979,26,82
bi_new,BI502_396,female,318,61.490566037735846,9.097001221519754,32,79
bi_new,BI502_396,male,567,60.954144620811284,9.208692291009436,31,80
bi_new,BI502_397,female,325,60.073846153846155,9.508317945958868,30,80
bi_new,BI502_397,male,535,60.37009345794392,9.241528309585338,27,80
bi_new,BI502_413,female,142,60.73943661971831,8.22181803976062,31,74
bi_new,BI502_413,male,385,61.262337662337664,7.709657075994835,35,74
bi_new,BI502_550,female,413,59.21307506053269,11.070959276750097,23,89
bi_new,BI502_550,male,479,55.13361169102296,11.481606980431128,18,84
lilly,LILLY_B3D_MC_GHAC,female,1732,68.86951501154735,7.037676537137024,42,85
lilly,LILLY_B3D_US_GHBZ,female,345,56.14492753623188,13.692294729194558,21,88
lilly,LILLY_B3D_US_GHBZ,male,84,56.773809523809526,13.973599195243358,22,81
lilly,LILLY_H3S_MC_GGGK,female,8458,66.020808701820755,7.110093364635562,31,80
lilly,LILLY_H6D_MC_LVGY,female,318,52.204402515723274,15.291253745999255,14,86
lilly,LILLY_H6D_MC_LVGY,male,88,56.84090909090909,15.760336045513199,18,99
lilly,LILLY_H6D_MC_LVHB,male,629,62.48012718600954,7.810759522287711,44,86
lilly,LILLY_H6D_MC_LVHG,male,427,62.166276346604214,8.31018301457073,45,82
lilly,LILLY_H6D_MC_LVHJ,male,325,64.07692307692308,9.240122674863885,44,86
lilly,LILLY_H6D_MC_LVHR,male,606,62.085808580858085,8.077060462120652,45,83
lilly,LILLY_H6D_MC_LVHS,male,318,66.5880503144654,9.212362183876847,46,87
lilly,LILLY_H6D_MC_LVID,male,511,62.968688845401175,8.171627027557168,45,88
lilly,LILLY_H9X_MC_GBCF,female,643,53.660964230171075,9.874610304403285,19,76
lilly,LILLY_H9X_MC_GBCF,male,559,53.54561717352415,9.821579156955126,24,74
lilly,LILLY_H9X_MC_GBDA,female,407,54.57985257985258,9.820451515002217,21,77
lilly,LILLY_H9X_MC_GBDA,male,571,55.527145359019265,9.78956921143624,19,85
lilly,LILLY_H9X_MC_GBDB,female,408,55.654411764705884,9.664427548990641,27,86
lilly,LILLY_H9X_MC_GBDB,male,421,56.70783847980998,9.169185472083557,28,79
lilly,LILLY_H9X_MC_GBDC,female,454,54.56167400881057,10.701836314519424,25,80
lilly,LILLY_H9X_MC_GBDC,male,353,55.73654390934844,9.898992514101183,30,83
lilly,LILLY_H9X_MC_GBDD,female,417,58.141486810551555,8.73881871832645,34,82
lilly,LILLY_H9X_MC_GBDD,male,475,59.08842105263158,9.572760043134776,27,83
lilly,LILLY_H9X_MC_GBDE,female,312,56.18589743589744,10.035822965775116,19,79
lilly,LILLY_H9X_MC_GBDE,male,287,56.3205574912892,9.202939008892946,28,79
lilly,LILLY_H9X_MC_GBDG,female,167,57.65269461077844,9.569610625025938,23,78
lilly,LILLY_H9X_MC_GBDG,male,133,56.78195488721804,9.838343622804281,35,80
rch,RCHNA25220,female,556,51.60791366906475,11.534868812529394,18,82
rch,RCHNA25220,male,100,54.72,11.191699666008796,18,77
rch,RCHQ4881G,female,232,41.956896551724135,14.447032524656159,12,73
rch,RCHQ4881G,male,87,39.37931034482759,14.859998888314417,13,74
rch,RCHQ4882G,female,245,41.67755102040816,13.652527318216226,14,75
rch,RCHQ4882G,male,78,45.06410256410256,13.360476451172353,14,75
rch,RCHQ4883G,female,242,42.59504132231405,14.068639390987249,14,73
rch,RCHQ4883G,male,94,44.638297872340424,14.330095456112138,14,75
rch,RCHWA19924,female,263,53.448669201520914,12.79447892531413,20,85
rch,RCHWA19924,male,63,55.58730158730159,12.082558638230884,29,80
tak,TKASYR322_305,female,1327,55.31047475508666,9.582384085753198,21,78
tak,TKASYR322_305,male,1312,55.484756097560975,9.755348046128695,23,80
tak,TKASYR322_402,female,1736,63.26555299539171,9.906263266895344,26,91
tak,TKASYR322_402,male,3674,59.77245508982036,9.731122131614637,29,91
